raw_text,aspectTerms,qwen_pred
Addicting!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:09.087071113Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117217564, 'load_duration': 18347967, 'prompt_eval_count': 177, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-e142f6b3-deba-40db-b451-c6e694232983-0' usage_metadata={'input_tokens': 177, 'output_tokens': 6, 'total_tokens': 183}"
– Best Mexican place for lunch in the financial district.,"[{'term': 'Mexican place', 'polarity': 'positive'}]","content=""['Mexican place']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:09.205200857Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116172676, 'load_duration': 16174060, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-a0f015ee-9b38-474f-8860-480b9d099a19-0' usage_metadata={'input_tokens': 184, 'output_tokens': 6, 'total_tokens': 190}"
Love the enchiladas and chicken soup - and be sure to check out their specials.,"[{'term': 'enchiladas', 'polarity': 'positive'}, {'term': 'chicken soup', 'polarity': 'positive'}, {'term': 'specials', 'polarity': 'positive'}]","content=""['enchiladas', 'chicken soup']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:09.391425057Z', 'done': True, 'done_reason': 'stop', 'total_duration': 184272912, 'load_duration': 16000820, 'prompt_eval_count': 191, 'prompt_eval_duration': 17000000, 'eval_count': 11, 'eval_duration': 147000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-22184865-f343-47ef-8c64-7c29c9213dd7-0' usage_metadata={'input_tokens': 191, 'output_tokens': 11, 'total_tokens': 202}"
The cooks have been at the restaurant for years and cook family recipes.,"[{'term': 'cooks', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:09.511487928Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117647604, 'load_duration': 16921049, 'prompt_eval_count': 187, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-433a5440-67aa-4eaa-895d-8fc9fd348186-0' usage_metadata={'input_tokens': 187, 'output_tokens': 6, 'total_tokens': 193}"
"Can get busy on Fridays for a table but once seated, the service is so efficient you can be in and out of there quickly.","[{'term': 'service', 'polarity': 'positive'}]","content=""['service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:09.608924557Z', 'done': True, 'done_reason': 'stop', 'total_duration': 94857552, 'load_duration': 15905220, 'prompt_eval_count': 200, 'prompt_eval_duration': 19000000, 'eval_count': 4, 'eval_duration': 56000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-d03e20a9-aac6-4d94-b8b6-6adbf42ef1f5-0' usage_metadata={'input_tokens': 200, 'output_tokens': 4, 'total_tokens': 204}"
I went there with a friend from out of town... and we were both very impressed!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:09.730345317Z', 'done': True, 'done_reason': 'stop', 'total_duration': 119722122, 'load_duration': 15901711, 'prompt_eval_count': 191, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-843837d0-a82d-452e-97b2-d5bf35f8df0e-0' usage_metadata={'input_tokens': 191, 'output_tokens': 6, 'total_tokens': 197}"
"Went on a Monday night, so there was no wait for a table.","[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:09.851659067Z', 'done': True, 'done_reason': 'stop', 'total_duration': 119826552, 'load_duration': 15886601, 'prompt_eval_count': 189, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-cf226ae8-2104-4f0f-9e19-58b4bfab87c9-0' usage_metadata={'input_tokens': 189, 'output_tokens': 6, 'total_tokens': 195}"
The sushi was excellent and the wait staff was quick.,"[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'wait staff', 'polarity': 'positive'}]","content=""['sushi', 'wait staff']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.006458365Z', 'done': True, 'done_reason': 'stop', 'total_duration': 153391440, 'load_duration': 15877161, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 9, 'eval_duration': 117000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-a7f19a9d-0f1e-42e7-9d33-6b7190d60124-0' usage_metadata={'input_tokens': 184, 'output_tokens': 9, 'total_tokens': 193}"
The price was right too.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content=""['price']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.097333753Z', 'done': True, 'done_reason': 'stop', 'total_duration': 89260859, 'load_duration': 15931890, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 4, 'eval_duration': 53000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-2d22986b-ba1d-4271-94d9-77150a8376ea-0' usage_metadata={'input_tokens': 179, 'output_tokens': 4, 'total_tokens': 183}"
The atmosphere was just okay.,"[{'term': 'atmosphere', 'polarity': 'neutral'}]","content=""['atmosphere']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.214494428Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114529028, 'load_duration': 15600570, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-ef390419-8909-4bad-8fb5-ee77ce14d554-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
"Space was limited, but the food made up for it.","[{'term': 'Space', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'positive'}]","content=""['food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.307812972Z', 'done': True, 'done_reason': 'stop', 'total_duration': 91667606, 'load_duration': 16253150, 'prompt_eval_count': 185, 'prompt_eval_duration': 17000000, 'eval_count': 4, 'eval_duration': 54000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-f0ac72e2-161b-4c58-a895-94face94da49-0' usage_metadata={'input_tokens': 185, 'output_tokens': 4, 'total_tokens': 189}"
I'd go back there in a heartbeat.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.425945026Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116410326, 'load_duration': 16740370, 'prompt_eval_count': 182, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-1e339639-7e8c-4cdc-b4bf-6dfe03194115-0' usage_metadata={'input_tokens': 182, 'output_tokens': 6, 'total_tokens': 188}"
Should have gone to Trader Joe's and had frozen pizza :(,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.545881498Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117386955, 'load_duration': 16290820, 'prompt_eval_count': 185, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-3442c777-9a75-46ce-8d98-a690bccd9097-0' usage_metadata={'input_tokens': 185, 'output_tokens': 6, 'total_tokens': 191}"
– My family went on a midweek evening to have dinner.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.66497543Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117324944, 'load_duration': 16606769, 'prompt_eval_count': 186, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-1769010e-6c98-4d7b-ac42-941ccd5bb481-0' usage_metadata={'input_tokens': 186, 'output_tokens': 6, 'total_tokens': 192}"
"The restaurant was 80 % full and there was a sign posted ""wait to be seated.""","[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.790132605Z', 'done': True, 'done_reason': 'stop', 'total_duration': 123232287, 'load_duration': 18218227, 'prompt_eval_count': 193, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-1d2f519f-f1d4-4c5c-af6a-730e72a79bf7-0' usage_metadata={'input_tokens': 193, 'output_tokens': 6, 'total_tokens': 199}"
Well I guess it's hard to be seated when one is invisible to the staff.,"[{'term': 'staff', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:10.913807982Z', 'done': True, 'done_reason': 'stop', 'total_duration': 122308308, 'load_duration': 17881608, 'prompt_eval_count': 190, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-06840c19-8b2f-41a4-8ed4-604b34ecce83-0' usage_metadata={'input_tokens': 190, 'output_tokens': 6, 'total_tokens': 196}"
We stood there for 10 minutes while employees walked back and forth ignoring us.,"[{'term': 'employees', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.035178752Z', 'done': True, 'done_reason': 'stop', 'total_duration': 120139471, 'load_duration': 17201548, 'prompt_eval_count': 190, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-037f72a9-2797-4833-af0e-cec6e5548f96-0' usage_metadata={'input_tokens': 190, 'output_tokens': 6, 'total_tokens': 196}"
"Finally, my wife stood face to face in front of one of the staff and she asked, ""Are you waiting for a table?""","[{'term': 'staff', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.156677762Z', 'done': True, 'done_reason': 'stop', 'total_duration': 120435251, 'load_duration': 15988500, 'prompt_eval_count': 200, 'prompt_eval_duration': 18000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-8f8ea137-6bae-44e9-ac4a-f47edcba8ea8-0' usage_metadata={'input_tokens': 200, 'output_tokens': 6, 'total_tokens': 206}"
Once seated it took about 30 minutes to finally get the meal.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.280203129Z', 'done': True, 'done_reason': 'stop', 'total_duration': 121677730, 'load_duration': 18258088, 'prompt_eval_count': 188, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-890b64d4-5eec-4cc7-8ca3-fccd6cbc1cf5-0' usage_metadata={'input_tokens': 188, 'output_tokens': 6, 'total_tokens': 194}"
The prior reviews said Kid friendly... give me a break with two young children that is light years.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[Kid friendly]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.391826861Z', 'done': True, 'done_reason': 'stop', 'total_duration': 108991796, 'load_duration': 16418550, 'prompt_eval_count': 193, 'prompt_eval_duration': 19000000, 'eval_count': 5, 'eval_duration': 69000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-40155e95-86e1-49f6-9b1c-b1abb1628ed5-0' usage_metadata={'input_tokens': 193, 'output_tokens': 5, 'total_tokens': 198}"
The Caesar salad I ordered had so much lemon I couldn't eat it.,"[{'term': 'Caesar salad', 'polarity': 'negative'}]","content=""['Caesar salad']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.515326388Z', 'done': True, 'done_reason': 'stop', 'total_duration': 121360000, 'load_duration': 18285247, 'prompt_eval_count': 188, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-c188dc7c-1d4b-45c2-a174-f7ce5936b234-0' usage_metadata={'input_tokens': 188, 'output_tokens': 6, 'total_tokens': 194}"
The pizza was slightly reminescent of Baker's Beach pizza which occupied the the space years ago (a distant second).,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content=""['pizza']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.613148717Z', 'done': True, 'done_reason': 'stop', 'total_duration': 95458742, 'load_duration': 16386540, 'prompt_eval_count': 197, 'prompt_eval_duration': 19000000, 'eval_count': 4, 'eval_duration': 56000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-a8390e74-74a2-4055-9bd5-15dddd94dacd-0' usage_metadata={'input_tokens': 197, 'output_tokens': 4, 'total_tokens': 201}"
It was decent but nothing exceptional.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.73157294Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116243246, 'load_duration': 16322050, 'prompt_eval_count': 180, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-8abb3bd5-a390-45a6-bf91-8b37e64aafb2-0' usage_metadata={'input_tokens': 180, 'output_tokens': 6, 'total_tokens': 186}"
This establishment is consistent with my feelings of the rest of Chow Foods group.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content=""['Chow Foods group']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.866257833Z', 'done': True, 'done_reason': 'stop', 'total_duration': 132627105, 'load_duration': 15980610, 'prompt_eval_count': 188, 'prompt_eval_duration': 17000000, 'eval_count': 7, 'eval_duration': 95000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-b747398e-d572-47b9-b08b-d553c0d665bf-0' usage_metadata={'input_tokens': 188, 'output_tokens': 7, 'total_tokens': 195}"
We used to frequent most of their restaurants but over the years each one has really been disapointing.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:11.988400162Z', 'done': True, 'done_reason': 'stop', 'total_duration': 120324121, 'load_duration': 15838321, 'prompt_eval_count': 194, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-0da02219-9352-4a50-bebf-79f6f331dcb2-0' usage_metadata={'input_tokens': 194, 'output_tokens': 6, 'total_tokens': 200}"
I'm a born and bred Southend resident and was excited to hear of this restaurant opening.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:12.106959335Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117276154, 'load_duration': 15775560, 'prompt_eval_count': 192, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-0a68e228-8ae6-4725-a27c-dfb0cf5900cb-0' usage_metadata={'input_tokens': 192, 'output_tokens': 6, 'total_tokens': 198}"
"Well, I guess maybe it might be beneficial for the management  to pay a visit to Tutta Bella in Columbia City for some tips.","[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:12.232960069Z', 'done': True, 'done_reason': 'stop', 'total_duration': 123213257, 'load_duration': 16170060, 'prompt_eval_count': 201, 'prompt_eval_duration': 20000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-52e69a48-b83b-432d-9e1a-65b3ffe25d86-0' usage_metadata={'input_tokens': 201, 'output_tokens': 6, 'total_tokens': 207}"
"Great food, better Margaritas!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'Margaritas', 'polarity': 'positive'}]","content=""['food', 'Margaritas']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:12.388246487Z', 'done': True, 'done_reason': 'stop', 'total_duration': 153626980, 'load_duration': 15825561, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 9, 'eval_duration': 117000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-fa47d7e6-14ba-424a-a7b1-2e39757bc5fb-0' usage_metadata={'input_tokens': 181, 'output_tokens': 9, 'total_tokens': 190}"
"– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!","[{'term': 'portions', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'margaritas', 'polarity': 'positive'}]","content='[huge portions, fast service, amazing margaritas]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:12.599455926Z', 'done': True, 'done_reason': 'stop', 'total_duration': 209631361, 'load_duration': 15495941, 'prompt_eval_count': 194, 'prompt_eval_duration': 18000000, 'eval_count': 13, 'eval_duration': 171000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-a0f00178-a4a6-49d8-b611-47c1051be2b4-0' usage_metadata={'input_tokens': 194, 'output_tokens': 13, 'total_tokens': 207}"
"it gets really busy, so get there on the early side so you can grab a seat, if you do have to wait, its not bad because the service is quick!","[{'term': 'service', 'polarity': 'positive'}]","content=""['service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:12.699855271Z', 'done': True, 'done_reason': 'stop', 'total_duration': 98560478, 'load_duration': 16895090, 'prompt_eval_count': 208, 'prompt_eval_duration': 20000000, 'eval_count': 4, 'eval_duration': 57000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-2becc82f-6a0f-4d71-b5c0-e76dda500b05-0' usage_metadata={'input_tokens': 208, 'output_tokens': 4, 'total_tokens': 212}"
"Check out the art on the walls, very colorful!","[{'term': 'art on the walls', 'polarity': 'positive'}]","content=""['art']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:12.794285695Z', 'done': True, 'done_reason': 'stop', 'total_duration': 92784006, 'load_duration': 18613037, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 4, 'eval_duration': 53000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-85798e2c-2ef0-4686-b7e1-76ffe87aca99-0' usage_metadata={'input_tokens': 184, 'output_tokens': 4, 'total_tokens': 188}"
i love this place!,"[{'term': 'place', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:12.915466205Z', 'done': True, 'done_reason': 'stop', 'total_duration': 118636703, 'load_duration': 18480227, 'prompt_eval_count': 178, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-ced08842-f81d-4147-80f8-3a6ff10b07cc-0' usage_metadata={'input_tokens': 178, 'output_tokens': 6, 'total_tokens': 184}"
– i have been eating at this place for over 8 years now and i have never had one bad meal.,"[{'term': 'meal', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.039688531Z', 'done': True, 'done_reason': 'stop', 'total_duration': 121678330, 'load_duration': 16778940, 'prompt_eval_count': 196, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-9db96ef4-0a8a-4bac-98e8-f4b14de07468-0' usage_metadata={'input_tokens': 196, 'output_tokens': 6, 'total_tokens': 202}"
i highly recommend this place to all that want to try indain food for the first time.,"[{'term': 'indain food', 'polarity': 'positive'}]","content=""['indain food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.160444911Z', 'done': True, 'done_reason': 'stop', 'total_duration': 118717203, 'load_duration': 16543520, 'prompt_eval_count': 192, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-8ea9b220-87e6-4a1d-8762-de992c4e1348-0' usage_metadata={'input_tokens': 192, 'output_tokens': 6, 'total_tokens': 198}"
The lunch menu is an awesome deal!,"[{'term': 'lunch menu', 'polarity': 'positive'}]","content=""['lunch menu']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.280119973Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117717094, 'load_duration': 18887757, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-eecd6e7a-2fd6-4582-99b5-d97217f9ab28-0' usage_metadata={'input_tokens': 181, 'output_tokens': 6, 'total_tokens': 187}"
"plenty of food,trust me .","[{'term': 'food', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.399625905Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116973315, 'load_duration': 16647219, 'prompt_eval_count': 181, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-201a127d-2119-4cd0-9cee-b7687c33516d-0' usage_metadata={'input_tokens': 181, 'output_tokens': 6, 'total_tokens': 187}"
Fresh ingrediants and super tasty.,"[{'term': 'ingrediants', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.517904449Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116565856, 'load_duration': 16990889, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-a36087b0-8b83-488a-b90b-1829d161e037-0' usage_metadata={'input_tokens': 181, 'output_tokens': 6, 'total_tokens': 187}"
The place is the next best thing to my Moms cooking.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.639203719Z', 'done': True, 'done_reason': 'stop', 'total_duration': 118918113, 'load_duration': 16472230, 'prompt_eval_count': 185, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-2c4ce2f7-95bd-4149-9fdc-58cfe3fcaa80-0' usage_metadata={'input_tokens': 185, 'output_tokens': 6, 'total_tokens': 191}"
"Best food, phenominal service ","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","content=""['food', 'service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.770523516Z', 'done': True, 'done_reason': 'stop', 'total_duration': 129211930, 'load_duration': 17361649, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 7, 'eval_duration': 91000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-cb50d56a-3e3b-4dcf-96af-baf708cdfce1-0' usage_metadata={'input_tokens': 181, 'output_tokens': 7, 'total_tokens': 188}"
"For the finicky sushi eater and those who have sampled the best NYC has to offer, the fish is the freshest and the service is superb.","[{'term': 'fish', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","content=""['fish', 'service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:13.910038123Z', 'done': True, 'done_reason': 'stop', 'total_duration': 137941899, 'load_duration': 16493430, 'prompt_eval_count': 203, 'prompt_eval_duration': 20000000, 'eval_count': 7, 'eval_duration': 97000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-18b573b6-94bd-4b55-9d79-24057eadfb54-0' usage_metadata={'input_tokens': 203, 'output_tokens': 7, 'total_tokens': 210}"
"Not only can the selection be innovative, but there's a nice balance of traditional sushi as well.","[{'term': 'selection', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'positive'}]","content=""['selection', 'traditional sushi']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:14.05864003Z', 'done': True, 'done_reason': 'stop', 'total_duration': 147502948, 'load_duration': 15944420, 'prompt_eval_count': 193, 'prompt_eval_duration': 19000000, 'eval_count': 8, 'eval_duration': 108000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-ad41e155-3215-4dde-ac30-253e6a49397b-0' usage_metadata={'input_tokens': 193, 'output_tokens': 8, 'total_tokens': 201}"
The nicest waiters in town.,"[{'term': 'waiters', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:14.177313013Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115795597, 'load_duration': 16453560, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-b54f71be-9f06-48d3-b5bd-f9b37a234685-0' usage_metadata={'input_tokens': 181, 'output_tokens': 6, 'total_tokens': 187}"
WAY OVER-RATED!!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:14.295078587Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115940327, 'load_duration': 15939291, 'prompt_eval_count': 178, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-3073f039-81a4-4bf2-b7e5-df67851a991d-0' usage_metadata={'input_tokens': 178, 'output_tokens': 6, 'total_tokens': 184}"
